protein,round,score,iteration
HHHHPPHPHHPPPP,0,-4,61
HHHHPPPPPHPPHH,0,-4,186
HHHPPHHPHPPPPH,0,-5,2484
HHHPPPPHPPHPHH,0,-5,3905
HHHPPPPPPHHHPH,0,-4,592
HHPHHPPPPHHPPH,0,-5,6484
HHPHPHHHPPPHPP,0,-4,87
HHPHPHPHHHPPPP,0,-4,1032
HHPPHHPPPHPPHH,0,-5,1415
HHPPHHPPPPHHPH,0,-5,6048
HHPPHPHPPPHHHP,0,-4,13512
HHPPHPPPHHPHPH,0,-5,803
HHPPPHHHPPHHPP,0,-4,107
HHPPPHPHHHPPPH,0,-4,1115
HHPPPHPPHHPHHP,0,-5,1972
HHPPPPHHPHHHPP,0,-4,163
HHPPPPPHPHHHPH,0,-4,63
HPHHHPPHPHPPHP,0,-5,113
HPHHHPPPPPHHHP,0,-3,271
HPHHHPPPPPHHPH,0,-4,47
HPHHPHHPHHPPPP,0,-4,238
HPHHPHPPHHPPHP,0,-5,1107
HPHHPHPPHPPHHP,0,-5,4072
HPHHPHPPPHPHHP,0,-4,16
HPHHPPPHHPPHPH,0,-5,2646
HPHHPPPHPPHPHH,0,-5,493
HPHPHHHPHPHPPP,0,-2,4
HPHPHHPHPHPPHP,0,-5,428
HPHPHHPHPPHHPP,0,-5,2939
HPHPHHPHPPPHPH,0,-5,3002
HPHPHPHPHPPHHP,0,-2,18
HPHPHPHPPHPHHP,0,-4,3179
HPHPHPPHPPHPHH,0,-5,5858
HPHPPHHHPHHPPP,0,-4,185
HPHPPHPPHPPHHH,0,-5,4822
HPHPPPHHHPHPPH,0,-5,10551
HPHPPPPHPHHHPH,0,-5,874
HPPHHPHHPPHPPH,0,-6,1399
HPPHHPHPHHPHPP,0,-5,3815
HPPHHPHPPHPPHH,0,-6,1068
HPPHHPPHHPPHPH,0,-6,3720
HPPHPHHHHPHPPP,0,-4,33
HPPHPHHHPPPPHH,0,-5,75
HPPHPHPPHHPHPH,0,-5,250
HPPHPPHHHHPPHP,0,-5,2182
HPPHPPHHPHHHPP,0,-5,1074
HPPHPPHPHHPPHH,1,-6,23983
HPPHPPPHPHHHHP,0,-5,2697
HPPHPPPPHHHHHP,0,-4,391
HPPPHHHPHPHPPH,0,-5,9136
HPPPPHHHHHPPHP,0,-4,23
HPPPPHPHPHHPHH,0,-5,10117
HPPPPHPHPHPHHH,0,-5,1013
HPPPPHPPHHHPHH,0,-5,285
PHHHHHHPPPHPPP,0,-3,114
PHHHHPHPHPPPPH,0,-5,196
PHHHPHPHHHPPPP,0,-3,33
PHHHPHPHPHHPPP,0,-4,219
PHHHPPHHHHPPPP,0,-3,142
PHHHPPHHPPPHPH,0,-4,18228
PHHHPPHPHPHHPP,0,-4,1004
PHHHPPPPHHHPHP,0,-4,520
PHHPHHPPHHPPHP,0,-5,6975
PHHPHPHHHPPHPP,0,-5,9168
PHHPHPPHHHPHPP,0,-4,94
PHHPHPPHHHPPHP,0,-5,2398
PHHPPHPHHHPPPH,0,-4,267
PHHPPHPPPPHHHH,0,-4,5136
PHHPPPPHHPPHHH,0,-4,200
PHPHHHPHPHPPPH,0,-2,35
PHPHHHPPPHPHPH,0,-2,15
PHPHHPPHHHPHPP,0,-4,131
PHPHHPPHPPHHPH,0,-4,109
PHPHPPHHHPPHHP,0,-5,1925
PHPPHPHHPHHPPH,0,-5,57
PHPPPPPHHHHHPH,0,-3,235
PPHHHPHHPHHPPP,0,-3,956
PPHHPHHPHPHPHP,0,-4,1267
PPHHPHPHHHHPPP,0,-4,146
PPHHPHPHHHPPPH,0,-4,33
PPHHPPHHHHPPPH,0,-4,297
PPHPHHHHPPHPPH,0,-5,1995
PPHPHHHPHHHPPP,0,-3,33
PPHPHHHPPHPHPH,0,-5,1086
PPHPHHHPPPHPHH,0,-4,1057
PPHPHHPHHHHPPP,0,-3,47
PPHPHHPHHPPPHH,0,-4,55
PPHPHPHPHHPHHP,0,-4,1121
PPHPPHHHHHPHPP,0,-4,1933
PPHPPHHHPPPHHH,0,-4,254
PPHPPHHPPPHHHH,0,-4,45
PPPHHHHHPPPPHH,0,-3,14
PPPHHHPHHHPPPH,0,-3,89
PPPHHHPHPPPHHH,0,-3,1024
PPPHHHPPHHPHHP,0,-4,339
PPPHPHPHHPPHHH,0,-4,2132
PPPHPHPPPHHHHH,0,-3,175
PPPPHHPPHHHPHH,0,-4,126
PPPPHPHHHPHHPH,0,-4,74
PPPPPHPPHHHHHH,0,-3,44
