protein;theo_score;high_score;percent_high;min_bond;min_count;odd_even_bond;odd_even_count;even1;even2;even3;even4;odd1;odd2;odd3;odd4;percentage;iterations;absoddeven;oddeven;absoutside;outside
HHHHPPHPHHPPPP;6;4;0.138686;6;3;0.666666667;0.75;2;0;2;0;1;1;0;1;100;765;1;1;0;0
HHHHPPPPPHPPHH;7;4;0.040302;7;3;1.285714286;1.333333333;2;0;0;1;1;1;0;2;100;678;1;-1;0;0
HHHPPHHPHPPPPH;7;5;0.010668;7;3;0.777777778;0.75;2;0;2;0;1;1;0;1;85;1910;1;1;0;0
HHHPPPPHPPHPHH;7;5;0.002371;7;3;0.777777778;0.75;2;0;0;2;1;0;1;1;64;1969;1;1;2;2
HHHPPPPPPHHHPH;7;4;0.098384;7;3;1.285714286;1.333333333;2;0;0;1;1;0;0;3;100;155;1;-1;1;-1
HHPHHPPPPHHPPH;7;5;0.009483;7;3;1.285714286;1.333333333;1;1;0;1;1;1;0;2;92;1077;1;-1;1;-1
HHPHPHHHPPPHPP;5;4;0.053341;5;2;2;2.5;1;0;1;0;1;2;1;1;100;288;3;-3;1;-1
HHPHPHPHHHPPPP;5;4;0.173062;5;2;2;2.5;1;0;1;0;1;2;1;1;100;294;3;-3;1;-1
HHPPHHPPPHPPHH;7;5;0.004741;7;3;1.285714286;1.333333333;1;1;0;1;1;1;0;2;71;2271;1;-1;1;-1
HHPPHHPPPPHHPH;7;5;0.01778;7;3;1.285714286;1.333333333;1;1;0;1;1;1;0;2;100;1086;1;-1;1;-1
HHPPHPHPPPHHHP;4;4;0.003556;4;2;0.363636364;0.4;1;1;1;2;1;0;0;1;57;1214;3;3;1;1
HHPPHPPPHHPHPH;7;5;0.002371;7;3;1.285714286;1.333333333;1;1;1;0;1;0;0;3;85;1585;1;-1;3;-3
HHPPPHHHPPHHPP;7;4;0.106682;7;3;1.142857143;1.333333333;1;0;1;1;1;1;1;1;100;433;1;-1;0;0
HHPPPHPHHHPPPH;5;4;0.035561;5;2;2.2;2.5;1;0;1;0;1;1;1;2;100;378;3;-3;2;-2
HHPPPHPPHHPHHP;7;5;0.002371;7;3;1.142857143;1.333333333;1;0;1;1;1;1;0;2;92;1475;1;-1;1;-1
HHPPPPHHPHHHPP;7;4;0.085345;7;3;1.142857143;1.333333333;1;0;1;1;1;0;1;2;100;779;1;-1;1;-1
HHPPPPPHPHHHPH;5;4;0.046229;5;2;2.2;2.5;1;0;0;1;1;0;1;3;100;256;3;-3;2;-2
HPHHHPPHPHPPHP;6;5;0.001185;6;3;0.666666667;0.75;2;1;0;1;0;1;1;1;100;1631;1;1;2;2
HPHHHPPPPPHHHP;4;3;0.18373;4;2;0.363636364;0.4;2;1;0;2;0;1;0;1;100;152;3;3;3;3
HPHHHPPPPPHHPH;7;4;0.113794;7;3;0.777777778;0.75;2;1;0;1;0;1;0;2;100;175;1;1;1;1
HPHHPHHPHHPPPP;6;4;0.238256;6;3;0.666666667;0.75;2;0;2;0;0;2;0;1;100;170;1;1;1;1
HPHHPHPPHHPPHP;6;5;0.009483;6;3;0.666666667;0.75;2;0;1;1;0;2;0;1;100;696;1;1;2;2
HPHHPHPPHPPHHP;6;5;0.002371;6;3;0.666666667;0.75;2;0;1;1;0;2;0;1;85;1846;1;1;2;2
HPHHPHPPPHPHHP;7;4;0.032005;7;3;1.142857143;1.333333333;2;0;0;1;0;2;0;2;100;533;1;-1;1;1
HPHHPPPHHPPHPH;7;5;0.010668;7;3;1.285714286;1.333333333;2;0;1;0;0;1;1;2;100;1220;1;-1;0;0
HPHHPPPHPPHPHH;7;5;0.003556;7;3;0.777777778;0.75;2;0;0;2;0;1;1;1;35;1581;1;1;3;3
HPHPHHHPHPHPPP;2;2;3.062954;2;1;0.153846154;0.166666667;2;1;2;1;0;1;0;0;100;58;5;5;3;3
HPHPHHPHPHPPHP;6;5;0.013039;6;3;0.666666667;0.75;2;1;0;1;0;1;1;1;100;681;1;1;2;2
HPHPHHPHPPHHPP;6;5;0.013039;6;3;0.666666667;0.75;2;1;0;1;0;1;1;1;100;1098;1;1;2;2
HPHPHHPHPPPHPH;7;5;0.003556;7;3;1.285714286;1.333333333;2;1;0;0;0;1;1;2;71;1609;1;-1;0;0
HPHPHPHPHPPHHP;2;2;1.126086;2;1;0.153846154;0.166666667;2;1;2;1;0;0;0;1;100;64;5;5;2;2
HPHPHPHPPHPHHP;4;4;0.028448;4;2;0.363636364;0.4;2;1;1;1;0;0;0;2;100;787;3;3;1;1
