protein,theo_score,high_score,percent_high,high_SA,iterations,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
HHHHHHHPPHPHPP,9,5,0.059267688,-5,139,9,4,1.111111111,1.25,2,1,1,0,1,2,0,2
HHHHHHPHPHPPPH,7,5,0.024892429,-5,238,7,3,1.857142857,2,2,1,0,0,1,2,1,2
HHHHHHPPPHPHPH,7,5,0.022521722,-5,1217,7,3,1.857142857,2,2,1,0,0,1,2,0,3
HHHHHPHHHPPHPP,8,5,0.058082335,-5,1267,8,4,0.727272727,0.8,2,1,2,0,1,1,1,1
HHHHHPHHPPHPPH,9,6,0.00948283,-6,3010,9,4,0.818181818,0.8,2,1,1,1,1,1,1,1
HHHHHPHPPHHHPP,8,5,0.052155566,-5,133,8,4,0.727272727,0.8,2,1,1,1,1,1,0,2
HHHHHPPHPPHHPH,9,6,0.010668184,-6,17407,9,4,1.222222222,1.25,2,1,0,1,1,1,1,2
HHHHHPPPHHHHPP,8,5,0.003556061,-5,29271,8,4,0.727272727,0.8,2,1,1,1,1,1,0,2
HHHHPHHHPPHPPH,9,6,0.016594953,-6,1909,9,4,1.222222222,1.25,2,0,1,1,1,2,1,1
HHHHPHHPHHPPPH,9,6,0.002370708,-5,368,9,4,1.222222222,1.25,2,0,2,0,1,2,0,2
HHHHPHHPHPPHPH,9,6,0.011853538,-6,6025,9,4,1.222222222,1.25,2,0,2,0,1,2,0,2
HHHHPHHPPHHPPH,9,6,0.021336368,-6,196,9,4,1.222222222,1.25,2,0,1,1,1,2,0,2
HHHHPHHPPPHHPH,9,5,0.077047995,-5,166,9,4,1.222222222,1.25,2,0,1,1,1,2,0,2
HHHHPHPPPHHPHH,9,6,0.005926769,-6,969,9,4,1.222222222,1.25,2,0,0,2,1,2,0,2
HHHHPPHHPHHPPH,9,6,0.021336368,-6,1024,9,4,1.222222222,1.25,2,0,1,1,1,1,1,2
HHHHPPHHPPHPHH,9,6,0.020151014,-6,38,9,4,0.818181818,0.8,2,0,1,2,1,1,1,1
HHHPHHHPHHHPPP,6,4,0.737290044,-4,46,6,3,0.461538462,0.5,2,1,2,1,1,1,0,1
HHHPHHHPHHPHPP,8,5,0.165949528,-5,420,8,4,0.727272727,0.8,2,1,2,0,1,1,0,2
HHHPHHHPPHHPHP,6,5,0.036745967,-5,262,6,3,0.461538462,0.5,2,1,1,2,1,1,0,1
HHHPHHPHHPPHPH,9,6,0.013038891,-6,209,9,4,1.222222222,1.25,2,1,1,0,1,1,1,2
HHHPHHPPPHPHHH,9,6,0.002370708,-6,2865,9,4,1.222222222,1.25,2,1,0,1,1,1,0,3
HHHPHPHHPHHPHP,6,5,0.034375259,-5,983,6,3,0.461538462,0.5,2,1,1,2,1,0,1,1
HHHPHPHPPHPHHH,9,7,0.002370708,-7,12559,9,4,0.818181818,0.8,2,1,1,1,1,0,0,3
HHHPPHHHPHPHHP,9,6,0.007112123,-6,2946,9,4,1.111111111,1.25,2,0,1,1,1,1,1,2
HHHPPHHHPPHPHH,9,6,0.017780307,-6,2011,9,4,0.818181818,0.8,2,0,1,2,1,1,1,1
HHHPPPHHHPHHPH,9,6,0.002370708,-6,16217,9,4,0.818181818,0.8,2,0,2,1,1,0,1,2
HHHPPPHPHHHHHP,6,4,0.176617712,-4,45,6,3,0.461538462,0.5,2,0,2,2,1,0,0,2
HHPHHHHPHPPPHH,9,6,0.007112123,-6,544,9,4,0.818181818,0.8,1,1,2,1,1,2,0,1
HHPHHHHPPHHPPH,9,6,0.020151014,-6,122,9,4,1.222222222,1.25,1,1,1,1,1,2,0,2
HHPHHHPHHPHPPH,9,6,0.024892429,-6,103,9,4,1.222222222,1.25,1,1,1,1,1,2,1,1
HHPHHHPHPHHPHP,9,6,0.004741415,-6,93,9,4,1.111111111,1.25,1,1,0,2,1,2,1,1
