protein,theo_score,high_score,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
HPPHPPHPHHPPHH,7,6,7,3,0.7777777777777778,0.75,1,0,2,1,0,1,0,2
HPHPHPHPHPPHHP,2,2,2,1,0.15384615384615385,0.16666666666666666,2,1,2,1,0,0,0,1
HPPHPPHHPHHHPP,7,5,7,3,1.1428571428571428,1.3333333333333333,1,0,1,1,0,1,1,2
HPPPHHHPHPHPPH,5,5,5,2,0.45454545454545453,0.4,1,1,2,1,0,1,0,1
HPHHPPPHHPPHPH,7,5,7,3,1.2857142857142858,1.3333333333333333,2,0,1,0,0,1,1,2
PPHPPHHHPPPHHH,6,4,6,3,1.5,1.3333333333333333,1,0,1,1,0,1,1,2
HPHHPPPHPPHPHH,7,5,7,3,0.7777777777777778,0.75,2,0,0,2,0,1,1,1
PPPHHHPPHHPHHP,6,4,6,3,1.3333333333333333,1.3333333333333333,0,1,1,1,0,2,0,2
HPHPPPPHPHHHPH,7,5,7,3,1.2857142857142858,1.3333333333333333,2,0,0,1,0,0,1,3
PHPHPPHHHPPHHP,6,5,6,3,1.3333333333333333,1.3333333333333333,0,0,2,1,1,1,1,1
PPPHHHHHPPPPHH,6,3,6,3,1.5,1.3333333333333333,0,1,1,1,0,2,1,1
PHHHPHPHPHHPPP,4,4,4,2,2.5,2.5,1,0,0,1,1,2,1,1
PPHHPHHPHPHPHP,4,4,4,2,0.4,0.4,1,0,2,2,0,2,0,0
PHHPPHPHHHPPPH,4,4,4,2,2.75,2.5,1,0,1,0,1,1,1,2
PHHHPPHPHPHHPP,6,4,6,3,0.75,0.75,1,0,2,1,1,1,0,1
PPHPHPHPHHPHHP,4,4,4,2,0.4,0.4,1,1,2,1,0,0,0,2
PPHPPHHHHHPHPP,6,4,6,3,1.3333333333333333,1.3333333333333333,1,0,2,0,0,1,1,2
PPPHPHPPPHHHHH,4,3,4,2,2.75,2.5,0,0,0,2,0,2,0,3
PHPPHPHHPHHPPH,6,5,6,3,1.5,1.3333333333333333,0,1,1,1,1,0,1,2
HHPPHPHPPPHHHP,4,4,4,2,0.36363636363636365,0.4,1,1,1,2,1,0,0,1
PPPPHHPPHHHPHH,7,4,7,3,0.875,0.75,0,1,1,2,0,1,0,2
PPPHHHPHHHPPPH,4,3,4,2,2.75,2.5,0,1,1,0,0,2,1,2
HHPHPHPHHHPPPP,5,4,5,2,2.0,2.5,1,0,1,0,1,2,1,1
HPHPHHPHPPHHPP,6,5,6,3,0.6666666666666666,0.75,2,1,0,1,0,1,1,1
PHHHPPPPHHHPHP,6,4,6,3,0.75,0.75,1,0,1,2,1,1,0,1
PHHHPPHHHHPPPP,6,3,6,3,1.3333333333333333,1.3333333333333333,1,0,2,0,1,1,1,1
HPHPPHPPHPPHHH,7,5,7,3,0.7777777777777778,0.75,2,0,1,1,0,1,0,2
PHPHHHPPPHPHPH,2,2,2,1,6.5,6.0,0,1,0,0,1,2,0,3
HPHHHPPHPHPPHP,6,5,6,3,0.6666666666666666,0.75,2,1,0,1,0,1,1,1
PPHHHPHHPHHPPP,6,3,6,3,0.75,0.75,1,1,1,1,0,1,1,1
