protein;percentage;iterations
HHHHPPHPHHPPPP;100;765
HHHHPPPPPHPPHH;100;678
HHHPPHHPHPPPPH;85;1910
HHHPPPPHPPHPHH;64;1969
HHHPPPPPPHHHPH;100;155
HHPHHPPPPHHPPH;92;1077
HHPHPHHHPPPHPP;100;288
HHPHPHPHHHPPPP;100;294
HHPPHHPPPHPPHH;71;2271
HHPPHHPPPPHHPH;100;1086
HHPPHPHPPPHHHP;57;1214
HHPPHPPPHHPHPH;85;1585
HHPPPHHHPPHHPP;100;433
HHPPPHPHHHPPPH;100;378
HHPPPHPPHHPHHP;92;1475
HHPPPPHHPHHHPP;100;779
HHPPPPPHPHHHPH;100;256
HPHHHPPHPHPPHP;100;1631
HPHHHPPPPPHHHP;100;152
HPHHHPPPPPHHPH;100;175
HPHHPHHPHHPPPP;100;170
HPHHPHPPHHPPHP;100;696
HPHHPHPPHPPHHP;85;1846
HPHHPHPPPHPHHP;100;533
HPHHPPPHHPPHPH;100;1220
HPHHPPPHPPHPHH;35;1581
HPHPHHHPHPHPPP;100;58
HPHPHHPHPHPPHP;100;681
HPHPHHPHPPHHPP;100;1098
HPHPHHPHPPPHPH;71;1609
HPHPHPHPHPPHHP;100;64
HPHPHPHPPHPHHP;100;787
HPHPHPPHPPHPHH;28;3815
HPHPPHHHPHHPPP;100;194
HPHPPHPPHPPHHH;85;1595
HPHPPPHHHPHPPH;64;2069
HPHPPPPHPHHHPH;92;700
HPPHHPHHPPHPPH;64;2612
HPPHHPHPHHPHPP;85;1744
HPPHHPHPPHPPHH;0;0
HPPHHPPHHPPHPH;71;2100
HPPHPHHHHPHPPP;100;78
HPPHPHHHPPPPHH;100;631
HPPHPHPPHHPHPH;100;690
HPPHPPHHHHPPHP;92;820
HPPHPPHHPHHHPP;100;990
HPPHPPHPHHPPHH;14;2525
HPPHPPPHPHHHHP;35;2930
HPPHPPPPHHHHHP;100;459
HPPPHHHPHPHPPH;78;1963
HPPPPHHHHHPPHP;100;118
HPPPPHPHPHHPHH;64;2317
HPPPPHPHPHPHHH;71;1618
HPPPPHPPHHHPHH;85;1148
PHHHHHHPPPHPPP;100;79
PHHHHPHPHPPPPH;42;1746
PHHHPHPHHHPPPP;100;133
PHHHPHPHPHHPPP;92;730
PHHHPPHHHHPPPP;100;253
PHHHPPHHPPPHPH;7;1262
PHHHPPHPHPHHPP;100;949
PHHHPPPPHHHPHP;100;389
PHHPHHPPHHPPHP;57;1443
PHHPHPHHHPPHPP;57;1453
PHHPHPPHHHPHPP;100;342
PHHPHPPHHHPPHP;85;1296
PHHPPHPHHHPPPH;100;652
PHHPPHPPPPHHHH;100;893
PHHPPPPHHPPHHH;100;564
PHPHHHPHPHPPPH;100;71
PHPHHHPPPHPHPH;100;80
PHPHHPPHHHPHPP;100;270
PHPHHPPHPPHHPH;100;469
PHPHPPHHHPPHHP;57;1533
PHPPHPHHPHHPPH;100;974
PHPPPPPHHHHHPH;100;143
PPHHHPHHPHHPPP;100;52
PPHHPHHPHPHPHP;100;1333
PPHHPHPHHHHPPP;100;1693
PPHHPHPHHHPPPH;85;1479
PPHHPPHHHHPPPH;100;166
PPHPHHHHPPHPPH;85;1685
PPHPHHHPHHHPPP;100;160
PPHPHHHPPHPHPH;92;1016
PPHPHHHPPPHPHH;100;624
PPHPHHPHHHHPPP;100;45
PPHPHHPHHPPPHH;100;304
PPHPHPHPHHPHHP;85;1770
PPHPPHHHHHPHPP;100;293
PPHPPHHHPPPHHH;100;630
PPHPPHHPPPHHHH;100;622
PPPHHHHHPPPPHH;100;63
PPPHHHPHHHPPPH;100;290
PPPHHHPHPPPHHH;100;406
PPPHHHPPHHPHHP;100;523
PPPHPHPHHPPHHH;78;2382
PPPHPHPPPHHHHH;100;239
PPPPHHPPHHHPHH;100;372
PPPPHPHHHPHHPH;100;98
PPPPPHPPHHHHHH;100;64
