protein,percentage,iterations
HHHHHHHPPHPHPP,100,535
HHHHHHPHPHPPPH,100,406
HHHHHHPPPHPHPH,100,703
HHHHHPHHHPPHPP,100,369
HHHHHPHHPPHPPH,92,2106
HHHHHPHPPHHHPP,100,629
HHHHHPPHPPHHPH,78,2123
HHHHHPPPHHHHPP,14,940
HHHHPHHHPPHPPH,100,1158
HHHHPHHPHHPPPH,100,352
HHHHPHHPHPPHHP,35,3217
HHHHPHHPHPPHPH,92,1632
HHHHPHHPPHHPPH,100,831
HHHHPHHPPPHHPH,100,451
HHHHPHPPPHHPHH,92,1159
HHHHPPHHPHHPPH,92,757
HHHHPPHHPPHPHH,92,626
HHHPHHHPHHHPPP,100,63
HHHPHHHPHHPHPP,100,277
HHHPHHHPPHHPHP,100,334
HHHPHHPHHPPHPH,100,1175
HHHPHHPPPHPHHH,64,1770
HHHPHPHHPHHPHP,100,573
HHHPHPHPPHPHHH,42,1474
HHHPPHHHPHPHHP,92,1370
HHHPPHHHPPHPHH,92,1503
HHHPPPHHHPHHPH,14,2439
HHHPPPHPHHHHHP,100,211
HHPHHHHPHPPPHH,64,2136
HHPHHHHPPHHPPH,100,815
HHPHHHPHHPHPPH,100,402
HHPHHHPHPHHPHP,100,310
HHPHHHPHPHPHHP,71,1452
HHPHHHPPHHPHHP,100,1573
HHPHHHPPHHPHPH,85,1592
HHPHHPHHHPPPHH,35,2425
HHPHHPHPHHHPPH,92,1281
HHPHPHHHHHPPPH,100,409
HHPHPHHPHPHPHH,64,1580
HHPHPHHPPHPHHH,71,1075
HHPHPHPHHHPHPH,100,176
HHPHPPHHHHHPHP,85,1436
HHPHPPHPHHPHHH,85,673
HHPPHHPPPHHHHH,21,2026
HPHHHHHPPHHHPP,100,325
HPHHHHHPPHPPHH,92,881
HPHHHHHPPPHPHH,100,289
HPHHHPHPHHPHPH,100,1265
HPHHPHHHHHPHPP,100,101
HPHHPHHHHPPPHH,50,2302
HPHHPPHHHHPHHP,28,2045
HPHHPPPHHHHHPH,35,1238
HPHPHHHHHPHPPH,100,1058
HPHPHHHHPHHPPH,42,2685
HPHPHHPHPPHHHH,0,0
HPHPHPHHHHPHPH,42,1923
HPHPHPHHPHHPHH,7,1054
HPHPHPHPHPHHHH,100,877
HPHPPPHPHHHHHH,92,1200
HPPHHHHHHHHPPP,85,1066
HPPHHHHPHHPHHP,85,1142
HPPHHHPHHHPHHP,100,1065
HPPHHHPHHPHHPH,100,553
HPPHHPHHHPHHPH,100,333
HPPHPHPPHHHHHH,85,912
PHHHHHHHPPHPPH,100,585
PHHHHHHPPHPPHH,14,1932
PHHHHHPHHPHHPP,85,1515
PHHHHHPPPHHPHH,92,860
PHHHHPHPHPHHHP,92,1855
PHHHHPHPHPPHHH,78,1756
PHHHHPPHPHHHHP,100,738
PHHHHPPHPPHHHH,57,2453
PHHHPHHHHPHPHP,50,1856
PHHHPHPPHHHHPH,100,723
PHHHPPHHHPHHHP,100,667
PHHHPPPHHHHHPH,100,89
PHHPHHHHHHHPPP,100,112
PHHPHHHHHPPHPH,78,2076
PHHPHHPPHHHHPH,42,1470
PHHPHPHPHHPHHH,21,1683
PHHPPHHHHHHPPH,35,2424
PHHPPPHHHHHPHH,100,315
PHHPPPHHPHHHHH,78,1393
PHHPPPHPHHHHHH,100,937
PHPHHHHPPHHHPH,100,288
PHPHHHHPPHHPHH,78,1538
PHPHHPHHPHHHHP,100,736
PHPHPHHHHPHHPH,100,715
PHPPHHHHHHPPHH,71,1460
PHPPHHHHHPPHHH,64,1976
PHPPHHPHHHHHHP,100,309
PPHHHHHPHHHPPH,100,594
PPHHHHHPHPHHPH,35,1931
PPHHPHPHHHHHPH,100,1405
PPHPHHHHHHHPHP,100,58
PPHPHPHHHHHHHP,100,268
PPHPHPHHHHPHHH,71,1297
PPPHHHHHHHHHPP,100,481
PPPHPHPHHHHHHH,100,155
