start,15883.456111103133
Start Anneal,0.0051285786685184576,1
Score Iteration,-1,5,0.9703725093562657
Score Iteration,-2,19,0.9046104802746177
Score Iteration,-3,20,0.9000874278732446
Score Iteration,-4,353,0.16957841978827515
Result SA test138,0.0051285786685184576,7.186897143219539,919,-4
Start Anneal,7.186906376507977,1.1
Score Iteration,-5,1045,0.5820012800899789
Score Iteration,-6,1214,0.24947359527184418
Result SA test138,7.186906376507977,14.346437079242605,1857,-6
Start Anneal,14.346445286610106,1.2100000000000002
Result SA test138,14.346445286610106,23.736852310476024,2814,-6
Start Anneal,23.736861543764462,1.3310000000000004
Result SA test138,23.736861543764462,31.424588657007916,3790,-6
Start Anneal,31.424597890294535,1.4641000000000006
Result SA test138,31.424597890294535,44.61861492468597,4785,-6
